data 2020-11-17 13:36:06 , accessi 132 , mappa:  138 , grafico:  105 , downdati:  105 , downgrafico:  105
data 2020-11-17 13:36:20 , accessi 132 , mappa:  139 , grafico:  105 , downdati:  105 , downgrafico:  105
data 2020-11-17 13:36:35 , accessi 132 , mappa:  140 , grafico:  105 , downdati:  105 , downgrafico:  105
data 2020-11-17 13:36:43 , accessi 132 , mappa:  141 , grafico:  105 , downdati:  105 , downgrafico:  105
data 2020-11-17 13:36:56 , accessi 132 , mappa:  142 , grafico:  105 , downdati:  105 , downgrafico:  105
data 2020-11-17 13:37:16 , accessi 132 , mappa:  143 , grafico:  105 , downdati:  105 , downgrafico:  105
data 2020-11-17 13:41:59 , accessi 132 , mappa:  144 , grafico:  105 , downdati:  105 , downgrafico:  105
data 2020-11-17 13:48:24 , accessi 132 , mappa:  145 , grafico:  105 , downdati:  105 , downgrafico:  105
data 2020-11-17 13:48:52 , accessi 132 , mappa:  146 , grafico:  105 , downdati:  105 , downgrafico:  105
data 2020-11-17 13:49:28 , accessi 132 , mappa:  147 , grafico:  105 , downdati:  105 , downgrafico:  105
data 2020-11-17 13:49:42 , accessi 132 , mappa:  148 , grafico:  105 , downdati:  105 , downgrafico:  105
data 2020-11-17 13:50:25 , accessi 132 , mappa:  149 , grafico:  105 , downdati:  105 , downgrafico:  105
data 2020-11-17 13:50:43 , accessi 132 , mappa:  150 , grafico:  105 , downdati:  105 , downgrafico:  105
data 2020-11-17 13:51:07 , accessi 132 , mappa:  151 , grafico:  105 , downdati:  105 , downgrafico:  105
data 2020-11-17 13:52:26 , accessi 132 , mappa:  152 , grafico:  105 , downdati:  105 , downgrafico:  105
data 2020-11-17 13:52:44 , accessi 132 , mappa:  153 , grafico:  105 , downdati:  105 , downgrafico:  105
data 2020-11-17 13:53:48 , accessi 132 , mappa:  154 , grafico:  105 , downdati:  105 , downgrafico:  105
data 2020-11-17 13:54:12 , accessi 132 , mappa:  155 , grafico:  105 , downdati:  105 , downgrafico:  105
data 2020-11-17 13:54:28 , accessi 132 , mappa:  156 , grafico:  105 , downdati:  105 , downgrafico:  105
data 2020-11-17 13:54:59 , accessi 132 , mappa:  156 , grafico:  106 , downdati:  105 , downgrafico:  105
data 2020-11-17 13:54:59 , accessi 132 , mappa:  156 , grafico:  106 , downdati:  106 , downgrafico:  105
data 2020-11-17 13:54:59 , accessi 132 , mappa:  156 , grafico:  106 , downdati:  106 , downgrafico:  106
data 2020-11-17 13:55:54 , accessi 132 , mappa:  157 , grafico:  106 , downdati:  106 , downgrafico:  106
data 2020-11-17 13:56:08 , accessi 132 , mappa:  158 , grafico:  106 , downdati:  106 , downgrafico:  106
data 2020-11-17 13:56:21 , accessi 132 , mappa:  159 , grafico:  106 , downdati:  106 , downgrafico:  106
data 2020-11-17 13:56:33 , accessi 132 , mappa:  160 , grafico:  106 , downdati:  106 , downgrafico:  106
data 2020-11-17 13:56:51 , accessi 132 , mappa:  160 , grafico:  107 , downdati:  106 , downgrafico:  106
data 2020-11-17 13:56:51 , accessi 132 , mappa:  160 , grafico:  107 , downdati:  107 , downgrafico:  106
data 2020-11-17 13:56:51 , accessi 132 , mappa:  160 , grafico:  107 , downdati:  107 , downgrafico:  107
